Star,SimbadName,Teff,logg,feh,class,is_host,age_gyr
HD181249,HD181249,4906,4.25,-0.13,single,False,0.007079457843841388
HD181428,HD181428,6151,4.45,0.06,single,False,0.14125375446227553
HD181433,HD181433,4962,4.37,0.33,HMPH,True,0.01995262314968879
HD181720,HD181720,5792,4.25,-0.53,HMPH,True,0.011220184543019653
HD183658,HD183658,5803,4.4,0.03,single,False,0.028183829312644664
HD183783,HD183783,4595,4.29,-0.2,single,False,0.01
HD18386,HD18386,5457,4.39,0.14,single,False,8.91250938133744
HD183870,HD183870,5029,4.49,-0.07,single,False,17.78279410038923
HD185283,HD185283,4848,4.37,-0.06,HMPH,True,0.022387211385683375
HD185615,HD185615,5570,4.34,0.08,single,False,0.022387211385683375
HD186061,HD186061,5016,4.51,-0.02,single,False,14.125375446227611
HD186302,HD186302,5662,4.44,-0.03,single,False,6.309573444801943
HD18719,HD18719,5241,4.41,-0.08,single,False,17.78279410038923
HD187456,HD187456,4832,4.33,0.02,single,False,0.014125375446227554
HD187760,HD187760,4618,4.45,-0.32,single,False,0.022387211385683375
HD18777,HD18777,5058,4.39,0.01,single,False,0.022387211385683375
HD188091,HD188091,5120,4.32,0.08,single,False,0.014125375446227554
HD18822,HD18822,5272,4.43,-0.07,single,False,15.848931924611108
HD18838,HD18838,5500,4.48,-0.17,single,False,0.03162277660168379
HD188559,HD188559,4786,4.33,-0.11,single,False,0.012589254117941687
HD188748,HD188748,5623,4.43,-0.12,single,False,7.943282347242854
HD188815,HD188815,6217,4.34,-0.53,single,False,7.079457843841373
HD189004,HD189004,5094,4.36,-0.07,single,False,0.015848931924611172
HD189242,HD189242,4913,4.46,-0.38,single,False,0.022387211385683375
HD189567,HD189567,5726,4.41,-0.24,LMPH,True,0.025118864315095822
HD189625,HD189625,5846,4.43,0.18,single,False,1.7782794100389228
HD189987,HD189987,4746,4.25,-0.06,single,False,0.01
HD190204,HD190204,5476,4.63,-0.02,single,False,0.050118723362727456
HD190248,HD190248,5604,4.26,0.33,single,False,8.91250938133744
HD19034,HD19034,5477,4.4,-0.48,single,False,17.78279410038923
HD190524,HD190524,5825,4.5,-0.13,single,False,0.03162277660168379
HD190613,HD190613,5776,4.33,0.0,single,False,0.022387211385683375
HD190647,HD190647,5639,4.18,0.23,HMPH,True,0.014125375446227554
HD190954,HD190954,5430,4.46,-0.41,single,False,14.125375446227611
HD190984,HD190984,6007,4.02,-0.49,HMPH,True,7.943282347242854
HD191033,HD191033,6206,4.47,-0.19,single,False,1.2589254117941662
HD191285,HD191285,4634,4.41,-0.28,single,False,0.017782794100389226
HD191797,HD191797,5061,4.5,-0.06,single,False,14.125375446227611
HD191847,HD191847,5066,4.45,-0.12,single,False,19.952623149688826
HD191902,HD191902,4691,4.25,-0.18,single,False,0.007943282347242822
HD192031,HD192031,5215,4.39,-0.84,single,False,0.012589254117941687
