Star,SimbadName,Teff,logg,feh,class,is_host,age_gyr,rbirth_kpc
HD162396,HD162396,6090,4.27,-0.35,single,False,7.079457843841373,6.924724708369524
HD16297,HD16297,5422,4.47,-0.01,single,False,8.91250938133744,3.7522354881864475
HD16382,HD16382,5953,4.5,0.03,single,False,0.1,7.380480372188415
HD16417,HD16417,5841,4.16,0.13,LMPH,True,5.011872336272715,2.8320637898845087
HD165131,HD165131,5870,4.45,0.06,HMPH,True,2.8183829312644493,4.2592614888396065
HD16548,HD16548,5690,3.96,0.15,single,False,6.309573444801943,2.4963013955746023
HD165920,HD165920,5339,4.39,0.29,single,False,12.589254117941662,1.6413582126337767
HD166745,HD166745,5621,4.31,0.25,single,False,7.943282347242854,1.5884235058887022
HD168746,HD168746,5568,4.33,-0.1,HMPH,True,12.589254117941662,4.3383978813889
HD168769,HD168769,5361,4.45,-0.01,single,False,11.220184543019654,3.70537503917917
HD168871,HD168871,5983,4.42,-0.09,single,False,2.8183829312644493,5.989334820442572
HD169830,HD169830,6361,4.21,0.18,HMPH,True,1.9952623149688828,3.2892650542124127
HD171587,HD171587,5412,4.59,-0.64,single,False,5.623413251903491,10.200374777826717
HD171665,HD171665,5655,4.41,-0.05,single,False,7.943282347242854,4.150964398266666
HD172513,HD172513,5500,4.41,-0.05,single,False,11.220184543019654,3.9984368466658182
HD172568,HD172568,5728,4.58,-0.37,single,False,1.1220184543019653,11.133526847302274
HD173885,HD173885,6264,4.37,-0.2,single,False,3.1622776601683795,7.0278542762419836
HD174153,HD174153,6196,4.49,-0.08,single,False,0.1,8.938717483214294
HD17439,HD17439,5721,4.44,0.08,single,False,5.623413251903491,3.231998901616211
HD175179,HD175179,5764,4.46,-0.66,single,False,10.0,8.746100342937286
HD17548,HD17548,6011,4.44,-0.53,single,False,7.079457843841373,8.532551511124865
HD176354,HD176354,5271,3.84,0.27,single,False,5.623413251903491,1.393121772037735
HD177122,HD177122,6021,4.52,-0.1,single,False,0.14125375446227553,9.13999937329614
HD177409,HD177409,5898,4.49,-0.04,single,False,0.6309573444801944,7.473783514605975
HD177565,HD177565,5627,4.39,0.08,LMPH,True,7.943282347242854,3.040530023237137
HD177758,HD177758,5862,4.41,-0.58,single,False,11.220184543019654,7.881505574104156
HD178904,HD178904,5727,4.41,0.09,single,False,6.309573444801943,3.0550123197506416
HD18001,HD18001,5772,4.44,-0.07,single,False,5.011872336272715,4.838082116812817
HD180409,HD180409,6013,4.52,-0.17,single,False,0.4466835921509635,9.547723009421027
HD181428,HD181428,6151,4.45,0.06,single,False,0.14125375446227553,6.881294653444709
HD18386,HD18386,5457,4.39,0.14,single,False,8.91250938133744,2.530885012675551
HD186302,HD186302,5662,4.44,-0.03,single,False,6.309573444801943,4.172434150758052
HD188748,HD188748,5623,4.43,-0.12,single,False,7.943282347242854,4.748890575728186
HD188815,HD188815,6217,4.34,-0.53,single,False,7.079457843841373,8.532551511124865
HD189625,HD189625,5846,4.43,0.18,single,False,1.7782794100389228,3.429152985243319
HD190248,HD190248,5604,4.26,0.33,single,False,8.91250938133744,0.9838409789531148
HD190984,HD190984,6007,4.02,-0.49,HMPH,True,7.943282347242854,7.909357772850453
HD191033,HD191033,6206,4.47,-0.19,single,False,1.2589254117941662,8.609217801740547
HD192117,HD192117,5479,4.48,-0.04,single,False,7.079457843841373,4.155689356001357
HD19230,HD19230,5254,4.63,-0.57,single,False,2.8183829312644493,11.52556927533125
HD192310,HD192310,5166,4.51,-0.04,LMPH,True,10.0,3.9495385285409936
HD193193,HD193193,5979,4.4,-0.05,single,False,3.5481338923357604,5.150798028842706
HD19423,HD19423,5752,4.23,-0.09,single,False,10.0,4.336358047366039
HD19467,HD19467,5720,4.31,-0.14,single,False,10.0,4.723177508550489
HD195145,HD195145,5625,4.41,0.17,single,False,5.011872336272715,2.4308600497688397
HD195200,HD195200,6201,4.44,-0.08,single,False,0.17782794100389226,8.787272648792607
HD195564,HD195564,5676,4.03,0.06,single,False,10.0,3.175899577351797
HD196050,HD196050,5917,4.32,0.23,HMPH,True,3.981071705534969,1.9785147571019603
HD19641,HD19641,5806,4.39,-0.01,single,False,6.309573444801943,3.9861971875958178
HD196892,HD196892,6072,4.5,-0.89,single,False,7.079457843841373,11.74820564904642
HD197083,HD197083,5735,4.5,-0.45,single,False,7.079457843841373,7.817961880168144
HD197197,HD197197,5812,4.2,-0.46,single,False,12.589254117941662,6.827973051398319
HD197210,HD197210,5577,4.42,-0.03,single,False,8.91250938133744,3.9150822142102246
HD197536,HD197536,6105,4.39,-0.41,single,False,5.011872336272715,8.248313309955947
HD197823,HD197823,5396,4.41,0.12,single,False,10.0,2.711716206638278
HD1979,HD1979,5626,4.52,-0.09,single,False,1.9952623149688828,6.589039541284597
HD198075,HD198075,5846,4.56,-0.24,single,False,0.22387211385683467,10.943766970722208
HD199086,HD199086,6149,4.65,0.18,single,False,0.31622776601683794,4.9153405445922695
HD199190,HD199190,5926,4.26,0.15,single,False,4.466835921509653,2.725125069191689
HD199288,HD199288,5746,4.46,-0.63,single,False,11.220184543019654,8.247832911931297
HD199289,HD199289,5928,4.64,-0.98,single,False,1.2589254117941662,18.807991035813103
HD199868,HD199868,6152,4.45,-0.13,single,False,1.2589254117941662,7.83462741979217
HD199960,HD199960,5973,4.39,0.28,single,False,1.2589254117941662,2.5415933996403943
HD20003,HD20003,5494,4.41,0.04,LMPH,True,11.220184543019654,3.339047796879303
HD200538,HD200538,6042,4.38,0.1,single,False,2.8183829312644493,3.7979085746320482
HD200633,HD200633,5853,4.51,0.05,single,False,0.22387211385683467,6.877965518460371
HD201496,HD201496,5974,4.44,-0.04,single,False,1.9952623149688828,5.977970161474644
HD202206,HD202206,5757,4.47,0.29,HMPH,True,0.5623413251903491,3.076616798530517
HD202605,HD202605,5658,4.49,0.18,single,False,1.0,4.077507314167626
HD202871,HD202871,6055,4.54,-0.09,single,False,0.5623413251903491,8.258501358521102
HD203384,HD203384,5586,4.4,0.26,single,False,6.309573444801943,1.4719982195950019
HD203432,HD203432,5645,4.39,0.29,single,False,5.623413251903491,1.1995559557487185
