age,feh,gaia_id
9.53,-0.47,4130826328991142272
3.03,-0.09,4110896611289855104
11.98,-0.23,4045997628223788416
7.96,0.06,4114102894616410624
7.74,0.05,4419007295834433920
10.43,-0.21,4346860091602096128
8.25,0.14,4130548423131112960
10.17,-0.24,4130843989896790784
11.21,-0.31,4127196875477951616
5.69,-0.26,4130840897520317440
5.98,0.2,4127562772340231552
11.51,-0.38,4127265560597687040
8.33,0.27,4130915217635983488
10.77,-0.12,4131736346660866176
11.16,-0.32,6731319694032795520
3.65,0.39,1247773112855957632
5.78,0.05,4130828115697557888
10.37,-0.21,4127626814580726400
9.28,-0.3,4130635628145238016
3.02,0.13,4131667558464063616
6.66,-0.64,4130823648931497344
6.63,0.38,4127261643587471360
4.62,0.24,4050172443857457792
7.68,0.17,4056522600205793536
2.23,0.0,4111091435362511616
9.77,0.12,4128680868267814656
8.57,-0.58,4343485552981286912
8.63,-0.5,4415553935969858432
9.73,-0.43,4346596758569127552
8.3,-0.26,4130845536085010560
11.76,-0.87,6731351339350865152
10.02,-0.29,4130636044765145088
7.65,-0.35,4130617490507282048
9.83,-0.21,4343573410832106368
3.21,0.13,4110902624240531968
7.87,-0.1,4418660189462019968
10.32,-0.48,4130631715438043648
12.99,-0.81,4050227659983216256
11.22,-0.69,4130824366187552896
9.98,-0.25,6731324774973593728
6.92,-0.13,4346586107050159360
9.49,-1.02,4346674377218287104
10.21,-0.61,4130624706051519104
4.09,0.2,4415543383235295488
11.56,-0.71,4127580811203201408
7.35,-0.48,1172955401034646528
8.17,-0.26,4418656169372632064
8.98,-0.03,4111092461796715520
10.0,-0.86,4130572513607030784
3.58,-0.16,4130619517730768896
10.92,-0.13,4130912915533475072
3.57,-0.2,4115533221783354240
9.86,-0.18,4415542421162621440
7.51,0.11,4343577323539515776
9.64,-0.34,4419788017809505664
7.81,-0.16,1176400308403431040
8.79,-0.58,4130831482951903360
7.48,0.02,4115503260089908224
9.41,-0.42,1247983085217250048
5.13,-0.24,4346603458718328576
10.55,0.21,4050197663917705088
2.98,-0.06,4111092633595055616
5.38,-0.7,1158390960775623296
7.07,-0.54,1154943712649609344
11.56,-0.69,1176416629279137536
9.09,-0.01,4419840996230685440
9.88,-0.16,4415350423239437952
2.08,0.06,4050200923731981056
4.58,-0.42,4130569829248106368
6.21,-0.02,1158106221623750016
2.15,0.29,4050201031172358912
10.01,0.13,3957255155681996544
6.58,0.29,6731330684848585600
8.03,0.09,1247987105306409728
3.38,-0.08,4111179426291516544
5.21,0.04,6731353813252097024
3.72,0.01,6731404386488895104
6.68,0.4,4050198243672386688
4.34,0.39,4050201507850673024
6.76,0.16,4111116105655383168
10.93,0.1,6731343917647625088
3.68,0.1,4050201301689098240
11.97,-0.49,6731354152551560320
10.53,-0.36,4346600572500297600
5.51,-0.9,4415544212163940480
2.89,0.19,4050199553702902528
10.3,-0.37,4419858794575158272
7.14,0.13,4050198552912580480
6.24,0.37,4050253803608760576
3.85,-0.56,1447093783330220160
4.12,0.03,4415619391271476736
10.18,-0.16,4111165343162838144
10.89,-0.17,4418659296108086912
3.93,0.18,4415356333114445952
5.94,-0.27,1158218200010896896
1.0,0.03,4114188377300119808
10.95,-0.55,6731359963645591936
6.85,0.15,4418928165356912768
2.42,-0.04,4415355474120983168
4.48,0.06,4057445885104683392
11.64,-0.05,6731348315694216064
9.67,0.29,4111135823787278976
4.2,-0.24,1245040379784248960
11.71,-0.18,6731410575539969792
11.15,-0.26,4114188862690923648
3.78,-0.04,4343604678193423616
8.04,-0.3,4111169191453579264
5.95,0.22,4346959906643283712
6.23,-0.37,1244971729027012992
8.13,-0.31,4127608711311726464
8.46,-0.39,4419109103739049216
1.58,0.02,1158428378530604800
2.46,0.32,4111188669065457152
7.46,-0.25,4111188467268181120
11.52,-0.17,4057684616500111872
5.57,-0.1,1176218029991293824
10.49,-0.09,4050193605271805184
6.39,0.09,4111194097899799552
7.33,0.01,4050272735585108352
6.69,0.09,4050001401120764416
10.83,0.05,4050206563042239360
2.88,-0.04,4057373038088841088
8.19,-0.45,4343600864262418304
10.08,0.32,4111188982664392576
4.08,0.25,4050210750622037248
10.06,-0.34,4050206867971009792
10.19,-0.95,4111207395119822976
2.5,0.08,4111193277631827072
4.73,0.08,4343658107587012736
4.61,-0.34,4418740148868571776
10.68,-0.17,1176430544973039744
6.2,0.13,4111190185255322880
10.35,0.13,4062284354714979200
2.81,0.18,4050270742726424192
4.86,0.01,4111125137908721408
8.49,0.38,4343395732322316032
8.45,-0.11,4111206501766579328
4.09,0.01,4415661340216012416
6.81,0.16,1158202806848157056
9.27,-0.04,4111194578937316992
11.26,-0.57,4418753441791226240
3.75,0.05,4050207383362765056
7.24,-0.09,4419091855150380672
8.19,-0.35,4418828311661789184
8.6,-0.57,4419955074857418752
11.24,-0.3,4419880239347186560
9.39,-0.22,4419087731981773952
2.89,0.16,4115394202270574720
5.71,-0.22,4114220056980905344
3.68,-0.22,4111212244217750144
2.92,0.03,4050211506536753920
5.5,0.17,4062290024073201920
6.27,-0.23,1247988067379083776
7.18,-0.16,4111211346493331456
6.55,-0.01,4111191349125258496
8.57,-0.08,1248135333217643648
10.17,-0.03,4050196182088051968
11.33,-0.6,4346680179712728704
10.87,-0.25,4050259958155160576
10.61,-0.18,4050263939498345600
4.9,0.22,4062353241756660608
8.5,0.24,4050275832363489536
6.55,0.07,4343402161892421504
3.53,-0.17,1244972278782861440
6.64,-0.11,4111195545374639104
10.15,-0.05,4343658863500894080
10.17,-0.55,4328773400201452928
6.25,0.17,4127596479245406080
10.79,-0.06,1173123832472064128
2.74,0.17,4062555693583923968
4.19,0.01,4114217484355692416
6.13,0.02,4329051198685701376
11.04,-0.52,4111208980033723904
11.18,-0.61,4111144864765779072
9.34,0.16,4111208808234995712
5.89,-0.03,4062303561817190400
10.37,0.21,4050213430754407552
9.65,0.37,4062352387028161792
3.67,0.36,4062291084878251904
11.29,-0.28,4328722685227413632
7.5,-0.33,4111201725764102272
3.05,0.07,4062613241781204864
6.33,0.3,4111198770826520064
2.18,0.08,4111150804631658496
7.88,-0.18,1248079842240197760
2.24,0.02,4111198805185494400
6.61,-0.04,4114222977561525504
7.98,0.03,4419934454718876928
5.73,-0.74,1158420230976831616
3.69,-0.6,4343678860868679168
9.61,-0.08,4111150980799384064
6.45,0.01,1248131484926945024
4.27,-0.13,4111215336585861120
9.03,-0.58,4114224150145568128
5.59,-0.54,4418743722281351040
6.96,0.21,4062309334258393856
10.55,-0.19,4111199290586736256
6.77,-0.37,4343685561017720832
3.65,-0.16,4111146995069528832
6.42,-0.05,4328706536150333440
7.84,-0.01,4328790236473121152
6.91,-0.54,4111151354387481088
8.45,0.18,4050356268425371264
8.47,0.22,4114224214512148480
7.25,-0.02,4111220765424811136
11.4,-0.57,4346688327272130944
11.13,-0.23,4111147476105920768
3.75,0.17,4111204891224281856
11.27,-0.31,4111200798050318848
5.2,0.28,4062565726632193280
6.23,-0.04,4111151530555226240
7.01,-0.08,4328778725960730624
1.83,0.24,4111152694417412992
4.91,-0.12,4111148674327904128
6.05,0.27,4063654410571638400
9.76,0.21,4114224832987505536
5.62,-0.27,4418814533406035968
3.26,0.24,4346711657534646912
4.58,0.34,4062298712740633600
5.69,-0.95,4418836905891892992
7.31,-0.74,1158421089970308736
5.88,-0.36,1155059887219907840
3.32,0.16,4114225284016855296
9.32,-0.22,4062628222628114048
8.48,-0.23,4329070749377136640
6.81,-0.13,4346707877963387392
3.83,0.16,4111217810487103104
7.15,-0.02,1155131114957572480
6.91,0.25,4050310668738536448
2.05,0.08,4111576521790433920
7.31,0.25,4329011856785555968
10.64,-0.34,4111579755985688064
8.28,-0.03,4114226413534540928
6.53,-0.28,4111528486874460928
8.79,0.04,4111217943563509248
8.04,-0.4,4419119716602374144
3.27,-0.03,4115600356388959616
9.1,0.1,4050377262286465920
4.52,0.23,4111222341610086272
3.54,-0.43,4111580889857174784
10.57,-0.23,1248810880033799808
8.83,-0.36,4328728114066065024
1.24,0.1,4050363376578080128
9.76,0.26,4114225868132376192
11.48,-0.38,4111576246912613632
2.41,-0.16,4127710278699745024
3.93,-0.16,1176174358763869568
9.35,-0.6,4329082294249241088
7.1,-0.39,4111527730960169728
7.73,0.11,4050375161969330560
11.38,-0.7,4328798448450594432
11.23,-0.26,4115615341560719104
10.88,-0.13,4062584173442590464
4.65,0.25,4114226241736943488
4.95,0.2,4062406400497546624
6.24,-0.06,4328727323792068096
10.1,0.04,4050110355844941312
7.71,0.0,4050315827046692096
10.97,-0.48,4328802949576341632
7.99,-0.57,4415724944387681536
2.3,-0.25,4111577419523441920
8.61,0.0,1173061847504079616
8.45,-0.38,4418769522148772224
6.76,0.09,4111598855622326400
7.31,0.09,4114601523149110400
10.11,0.07,4050316922211973120
9.96,-0.41,4419033065638089216
8.04,-0.22,4328784395317575552
5.72,-0.7,4328715469682321408
5.01,-0.24,4111593602962329728
9.31,0.31,4111598688203969152
9.52,0.24,4050375338140121088
10.52,-0.01,4111580541880478848
11.2,-0.36,4114602446513176832
5.7,0.11,4062406121275658368
1.95,-0.16,4328731756198343424
6.19,0.06,4111581950628654848
5.55,0.24,4329061334808698368
8.96,-0.39,4111597927909174528
6.03,0.05,4062410931735522944
10.85,-0.58,4328785627970538880
7.67,-0.35,4419966207412657152
2.13,-0.22,4111596244279813504
7.76,-0.45,1459169169782420480
2.98,0.19,4050380904420001536
11.14,-0.08,4330234135759742848
3.62,-0.16,4329084458912647424
2.24,0.03,4114602004185428992
7.27,0.13,4050318880743307904
7.95,-0.44,1248349222588820352
2.8,0.0,4330211870649015040
4.99,-0.4,4327207764363428352
8.16,0.13,4050385504251726848
6.97,0.22,4327209138752977664
3.77,0.32,4050370282886974720
8.79,0.01,4330215993817635200
6.02,0.12,4330234651155629184
